anime_id,anime_url,title,synopsis,main_pic,type,source_type,num_episodes,status,start_date,end_date,season,studios,genres,score,score_count,score_rank,popularity_rank,members_count,favorites_count,watching_count,completed_count,on_hold_count,dropped_count,plan_to_watch_count,total_count,score_10_count,score_09_count,score_08_count,score_07_count,score_06_count,score_05_count,score_04_count,score_03_count,score_02_count,score_01_count,clubs,pics
19195,https://myanimelist.net/anime/19195/Koukaku_Kidoutai_Arise__Ghost_in_the_Shell_-_Border_4_Ghost_Stands_Alone,Koukaku Kidoutai Arise: Ghost in the Shell - Border:4 Ghost Stands Alone,"The story of this fourth installment takes place amidst signs of postwar reconstruction in the winter of 2028. Tensions are rising in New Port City as demonstrations are held concerning the interests of foreign cartels. This leads to a shooting incident involving riot police. It all started with a cyberbrain infection released by the terrorist ""Fire Starter."" An independent offensive unit led by Motoko Kusanagi entrusts the suppression of the situation to their ghosts and aims for their own justice. Below the surface of the incident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4447,https://myanimelist.net/anime/4447/Detective_Conan_Movie_12__Full_Score_of_Fear,Detective Conan Movie 12: Full Score of Fear,"Serial murders involving all kinds have happened. All the victims are from a Music School led by a famous pianist. Conan and company have been invited to a opening concert of the Music Hall built by the pianist. The biggest attraction of this concert is the world famous violin called ""Stradivarius"" and a special appearance of a singer who has perfect pitch.  (Source: ANN)",https://cdn.myanimelist.net/images/anime/6/22766.jpg,Movie,Manga,1,Finished Airing,4/19/2008 0:00,4/19/2008 0:00,,TMS Entertainment,Adventure|Comedy|Mystery|Police|Shounen,7.82,24316,885,2854,41738,17,418,37152,225,242,3701,41738,3375,3946,7447,6060,2186,896,248,80,34,44,2418|30781|79626|20779|7004|13564|431|21491|23639|14181|10346|14123|10027|24789|16315|4178|9843|34834|13310|10289|15217|20824,https://cdn.myanimelist.net/images/anime/11/8490.jpg|https://cdn.myanimelist.net/images/anime/6/22766.jpg|https://cdn.myanimelist.net/images/anime/1413/94325.jpg
22159,https://myanimelist.net/anime/22159/Yami_no_Kioku_Yume_no_Inei,Yami no Kioku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40314,https://myanimelist.net/anime/40314/Sekaiichi_Hatsukoi__Propose-hen,Sekaiichi Hatsukoi: Propose-hen,Even at their colleagues' wedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6840,https://myanimelist.net/anime/6840/Maabou_no_Daikyousou,Maabou no Daikyousou,A boy competes in various events during the Olympic games.Short film from 1936.,https://cdn.myanimelist.net/images/anime/8/15844.jpg,Movie,Original,1,Finished Airing,3/20/1936 0:00,3/20/1936 0:00,,,Comedy|Sports,4.38,529,12128,11470,979,0,14,790,6,46,123,979,14,3,5,29,76,134,108,77,38,45,14045|34583|36983,https://cdn.myanimelist.net/images/anime/8/15844.jpg
30869,https://myanimelist.net/anime/30869/Ajin_Part_2__Shoutotsu,Ajin Part 2: Shoutotsu,For high schooler Kei—and for at least forty-six others—immortality comes as the nastiest surprise ever.  Sadly for Kei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36836,https://myanimelist.net/anime/36836/Toho_Cinemas_x_Pokemon_Go,Toho Cinemas x Pokemon Go,Collaboration shorts between Pokemon Go and Toho Cinemas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10436,https://myanimelist.net/anime/10436/Animal_Dance,Animal Dance,A myriad of shadows resembling humans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37442,https://myanimelist.net/anime/37442/Psycho-Pass__Sinners_of_the_System_Case3_-_Onshuu_no_Kanata_ni＿＿,Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿,Shinya Kougami continues to wander the Southeast Asian Union (SEAUn) away from the eyes of the Sibyl System in Japan. While travelling through the Tibet-Himalayan Alliance Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5661,https://myanimelist.net/anime/5661/Umi_no_Momotarou,Umi no Momotarou,.,https://cdn.myanimelist.net/images/anime/9/85234.jpg,Movie,Original,1,Finished Airing,1/26/1932 0:00,1/26/1932 0:00,,,Samurai,4.5,675,12080,10850,1257,0,25,992,6,59,175,1257,18,10,17,35,95,176,130,76,73,45,14045|34583|36983,https://cdn.myanimelist.net/images/anime/12/11730.jpg|https://cdn.myanimelist.net/images/anime/9/85234.jpg
